Allocations for Section 18004(a)(1) of the CARES Act,,,
,,,
OPEID,School,Total Allocation ($),"Minimum Allocation to
be Awarded for
Emergency Financial Aid
Grants to Students ($)"
200600,Grambling State University,"7,010,388.00","3,505,194.00"
450200,City College Of San Francisco,"7,009,874.00","3,504,937.00"
275100,Long Island University,"7,007,826.00","3,503,913.00"
1097500,University Of Puerto Rico Bayamon Technical University College,"6,991,670.00","3,495,835.00"
232600,University Of Michigan - Dearborn,"6,989,129.00","3,494,565.00"
153800,University Of Tampa (The),"6,941,444.00","3,470,722.00"
3372300,Northwest Vista College,"6,926,619.00","3,463,310.00"
231400,Saginaw Valley State University,"6,911,064.00","3,455,532.00"
245400,University Of Central Missouri,"6,908,319.00","3,454,160.00"
162600,University Of Idaho,"6,905,295.00","3,452,648.00"
376500,Norfolk State University,"6,901,715.00","3,450,858.00"
376400,Virginia State University,"6,855,810.00","3,427,905.00"
142600,Yale University,"6,851,139.00","3,425,570.00"
147900,Embry-Riddle Aeronautical University,"6,845,716.00","3,422,858.00"
3128100,College Of Health Care Professions (The),"6,835,962.00","3,417,981.00"
250100,Southeast Missouri State University,"6,830,214.00","3,415,107.00"
2576900,Charter College,"6,816,451.00","3,408,226.00"
226700,Grand Rapids Community College,"6,806,171.00","3,403,086.00"
395500,University Of West Florida (The),"6,801,388.00","3,400,694.00"
391900,University Of Wisconsin - Lacrosse,"6,789,642.00","3,394,821.00"
127200,San Bernardino Valley College,"6,732,563.00","3,366,282.00"
292000,Duke University,"6,714,022.00","3,357,011.00"
248000,Lindenwood University,"6,706,309.00","3,353,155.00"
119100,Diablo Valley College,"6,679,277.00","3,339,639.00"
399100,Greenville Technical College,"6,663,667.00","3,331,834.00"
146700,Bethune Cookman University,"6,648,501.00","3,324,251.00"
386300,Marquette University,"6,646,735.00","3,323,368.00"
393200,University Of Wyoming,"6,613,580.00","3,306,790.00"
206200,Bowie State University,"6,596,246.00","3,298,123.00"
2098800,University Of Phoenix,"6,589,433.00","3,294,717.00"
1065200,Pasco - Hernando State College,"6,574,907.00","3,287,454.00"
492000,Trident Technical College,"6,568,275.00","3,284,138.00"
690100,Rowan College Of South Jersey,"6,557,641.00","3,278,821.00"
284600,State University Of New York At New Paltz,"6,537,407.00","3,268,704.00"
123700,Merced Community College,"6,536,491.00","3,268,246.00"
218800,Salem State University,"6,512,818.00","3,256,409.00"
730300,Lincoln Technical Institute,"6,495,045.00","3,247,523.00"
332000,East Stroudsburg University Of Pennsylvania,"6,469,323.00","3,234,662.00"
769200,Moraine Valley Community College,"6,465,543.00","3,232,772.00"
1246100,Lincoln Technical Institute,"6,452,823.00","3,226,412.00"
212800,Boston College,"6,448,576.00","3,224,288.00"
208900,Prince George'S Community College,"6,421,788.00","3,210,894.00"
3730300,Baton Rouge Community College,"6,420,025.00","3,210,013.00"
159000,Savannah State University,"6,374,932.00","3,187,466.00"
252000,Washington University In St. Louis,"6,368,472.00","3,184,236.00"
354100,Angelo State University,"6,359,561.00","3,179,781.00"
156100,Columbus State University,"6,352,178.00","3,176,089.00"
166500,Columbia College Chicago,"6,341,542.00","3,170,771.00"
407600,Kirkwood Community College,"6,336,610.00","3,168,305.00"
840400,Brookdale Community College,"6,334,411.00","3,167,206.00"
890300,College Of The Canyons,"6,326,734.00","3,163,367.00"
143400,American University (The),"6,314,017.00","3,157,009.00"
392400,University Of Wisconsin - Stevens Point,"6,312,792.00","3,156,396.00"
3035300,Southern Careers Institute,"6,305,240.00","3,152,620.00"
221000,University Of Massachusetts - Dartmouth,"6,288,232.00","3,144,116.00"
100500,Alabama State University,"6,284,463.00","3,142,232.00"
295400,University Of North Carolina At Pembroke,"6,274,710.00","3,137,355.00"
3095500,Asa College,"6,272,628.00","3,136,314.00"
197700,Murray State University,"6,270,769.00","3,135,385.00"
207700,Johns Hopkins University,"6,266,940.00","3,133,470.00"
273200,Hofstra University,"6,249,515.00","3,124,758.00"
284300,Suny College At Cortland,"6,245,138.00","3,122,569.00"
126900,Rio Hondo Community College,"6,232,775.00","3,116,388.00"
392000,University Of Wisconsin - Oshkosh,"6,207,761.00","3,103,881.00"
177400,University Of Chicago (The),"6,207,010.00","3,103,505.00"
367100,Dixie State University,"6,176,699.00","3,088,350.00"
923000,Wayne County Community College District,"6,158,090.00","3,079,045.00"
122800,Los Angeles Valley College,"6,154,624.00","3,077,312.00"
285800,State University Of New York At Farmingdale,"6,154,318.00","3,077,159.00"
157900,Augusta University,"6,145,342.00","3,072,671.00"
298600,Winston-Salem State University,"6,117,980.00","3,058,990.00"
151400,Polk State College,"6,116,050.00","3,058,025.00"
144500,Georgetown University,"6,110,643.00","3,055,322.00"
695100,University Of South Carolina Upstate,"6,104,655.00","3,052,328.00"
169300,Northeastern Illinois University,"6,070,904.00","3,035,452.00"
155900,Clark Atlanta University,"6,064,349.00","3,032,175.00"
102000,Jacksonville State University,"6,050,640.00","3,025,320.00"
719100,Northampton County Area Community College,"6,039,116.00","3,019,558.00"
347100,South Dakota State University,"6,020,168.00","3,010,084.00"
197600,Morehead State University,"6,016,440.00","3,008,220.00"
289400,University Of Rochester,"6,011,698.00","3,005,849.00"
151300,Pensacola State College,"6,004,939.00","3,002,470.00"
157100,Georgia Military College,"5,998,679.00","2,999,340.00"
230100,Northern Michigan University,"5,994,618.00","2,997,309.00"
158100,Middle Georgia State University,"5,988,167.00","2,994,084.00"
209100,Salisbury University,"5,959,457.00","2,979,729.00"
110100,University Of Arkansas At Little Rock,"5,956,500.00","2,978,250.00"
2241800,American Career College,"5,944,572.00","2,972,286.00"
128700,Santa Rosa Junior College,"5,942,841.00","2,971,421.00"
764000,Fayetteville Technical Community College,"5,913,774.00","2,956,887.00"
127500,San Diego Mesa College,"5,911,519.00","2,955,760.00"
1212300,"University Of Puerto Rico, Aguadilla Regional College","5,899,782.00","2,949,891.00"
794700,Beth Medrash Govoha Of America,"5,899,593.00","2,949,797.00"
180800,University Of Southern Indiana,"5,890,282.00","2,945,141.00"
239600,Alcorn State University,"5,886,916.00","2,943,458.00"
2547600,Florida National University,"5,884,598.00","2,942,299.00"
251900,University Of Missouri - Saint Louis,"5,830,225.00","2,915,113.00"
182700,Purdue University Northwest,"5,824,998.00","2,912,499.00"
227800,Lansing Community College,"5,804,315.00","2,902,158.00"
184000,University Of Notre Dame,"5,793,244.00","2,896,622.00"
145900,Strayer University,"5,792,122.00","2,896,061.00"
242700,Northwest Mississippi Community College,"5,787,016.00","2,893,508.00"
686500,Camden County College,"5,784,112.00","2,892,056.00"
202000,University Of Louisiana At Monroe,"5,777,764.00","2,888,882.00"
260700,Fairleigh Dickinson University,"5,771,203.00","2,885,602.00"
128500,Santa Barbara City College,"5,767,428.00","2,883,714.00"
1258600,Metropolitan Community College,"5,767,395.00","2,883,698.00"
366500,West Texas A&M University,"5,764,767.00","2,882,384.00"
467300,Baker College,"5,754,381.00","2,877,191.00"
321800,Chemeketa Community College,"5,750,738.00","2,875,369.00"
263200,Seton Hall University,"5,749,918.00","2,874,959.00"
284700,Suny College At Oneonta,"5,740,817.00","2,870,409.00"
720600,University Of Puerto Rico - Cayey University College,"5,738,057.00","2,869,029.00"
2284300,Interactive College Of Technology,"5,735,726.00","2,867,863.00"
363600,Texas Christian University,"5,728,641.00","2,864,321.00"
165200,Harold Washington College,"5,708,949.00","2,854,475.00"
239400,Winona State University,"5,696,956.00","2,848,478.00"
105500,University Of Alabama In Huntsville,"5,679,758.00","2,839,879.00"
316100,Northeastern State University,"5,676,974.00","2,838,487.00"
394300,University Of Puerto Rico - Humacao University College,"5,664,236.00","2,832,118.00"
121600,University Of La Verne,"5,658,977.00","2,829,489.00"
202100,Northwestern State University,"5,647,034.00","2,823,517.00"
3956300,South Louisiana Community College,"5,645,949.00","2,822,975.00"
353500,Vanderbilt University,"5,632,423.00","2,816,212.00"
367800,Southern Utah University,"5,624,696.00","2,812,348.00"
332500,Millersville University Of Pennsylvania,"5,617,301.00","2,808,651.00"
4248500,Texas A&M University-San Antonio,"5,613,425.00","2,806,713.00"
128400,Santa Ana College,"5,594,396.00","2,797,198.00"
202900,Tulane University,"5,590,189.00","2,795,095.00"
182800,Purdue University Fort Wayne,"5,589,305.00","2,794,653.00"
201500,University Of New Orleans (The),"5,581,887.00","2,790,944.00"
753600,Cosumnes River College,"5,574,947.00","2,787,474.00"
1039100,Oklahoma City Community College,"5,566,700.00","2,783,350.00"
142800,Delaware State University,"5,565,920.00","2,782,960.00"
1171100,University Of Houston - Clear Lake,"5,555,369.00","2,777,685.00"
111700,Azusa Pacific University,"5,548,456.00","2,774,228.00"
396100,Harper College,"5,526,516.00","2,763,258.00"
710900,Suny College At Old Westbury,"5,522,673.00","2,761,337.00"
284400,Suny At Fredonia,"5,513,590.00","2,756,795.00"
111000,University Of Arkansas At Fort Smith,"5,511,303.00","2,755,652.00"
123900,Miracosta College,"5,511,006.00","2,755,503.00"
406200,Pitt Community College,"5,510,793.00","2,755,397.00"
961800,Tulsa Welding School,"5,505,774.00","2,752,887.00"
116400,Chapman University,"5,505,229.00","2,752,615.00"
400700,Madison Area Technical College,"5,500,069.00","2,750,035.00"
169900,Joliet Junior College,"5,497,625.00","2,748,813.00"
258000,Southern New Hampshire University,"5,494,008.00","2,747,004.00"
300500,University Of North Dakota,"5,491,551.00","2,745,776.00"
201700,Mcneese State University,"5,456,361.00","2,728,181.00"
999400,Passaic County Community College,"5,451,658.00","2,725,829.00"
1146200,University Of Alaska Anchorage,"5,445,184.00","2,722,592.00"
332600,Shippensburg University Of Pennsylvania,"5,436,200.00","2,718,100.00"
393700,Universidad Del Sagrado Corazón,"5,395,359.00","2,697,680.00"
345600,Winthrop University,"5,382,130.00","2,691,065.00"
226100,Charles Stewart Mott Community College,"5,378,749.00","2,689,375.00"
325800,Duquesne University Of The Holy Spirit,"5,373,970.00","2,686,985.00"
711000,Delaware County Community College,"5,360,154.00","2,680,077.00"
140200,Quinnipiac University,"5,345,199.00","2,672,600.00"
339500,Pennsylvania College Of Technology,"5,341,470.00","2,670,735.00"
2288400,Gwinnett Technical College,"5,336,576.00","2,668,288.00"
192600,Pittsburg State University,"5,318,769.00","2,659,385.00"
965200,"University Of Puerto Rico, Ponce","5,314,251.00","2,657,126.00"
3493300,All-State Career,"5,309,772.00","2,654,886.00"
399800,Chattanooga State Community College,"5,283,482.00","2,641,741.00"
158000,Mercer University,"5,265,925.00","2,632,963.00"
284900,State University Of New York College At Plattsburgh,"5,258,169.00","2,629,085.00"
266600,Adelphi University,"5,246,966.00","2,623,483.00"
287500,Onondaga Community College,"5,222,555.00","2,611,278.00"
357800,University Of The Incarnate Word,"5,219,687.00","2,609,844.00"
1164400,University Of Maryland Global Campus,"5,210,563.00","2,605,282.00"
251700,Missouri University Of Science And Technology,"5,205,598.00","2,602,799.00"
377300,Clark College,"5,205,413.00","2,602,707.00"
312700,University Of Dayton,"5,197,738.00","2,598,869.00"
122300,Los Angeles City College,"5,197,272.00","2,598,636.00"
1116300,University Of Texas At Tyler,"5,194,610.00","2,597,305.00"
361100,South Plains College,"5,182,219.00","2,591,110.00"
696100,Jefferson Community And Technical College,"5,179,693.00","2,589,847.00"
1269300,Pellissippi State Community College,"5,171,189.00","2,585,595.00"
132900,University Of The Pacific,"5,164,869.00","2,582,435.00"
1037400,Metropolitan State University,"5,159,002.00","2,579,501.00"
492500,Horry - Georgetown Technical College,"5,158,587.00","2,579,294.00"
225100,Delta College,"5,146,606.00","2,573,303.00"
711500,Moorpark College,"5,143,560.00","2,571,780.00"
250600,Saint Louis University,"5,141,085.00","2,570,543.00"
154400,Albany State University,"5,137,088.00","2,568,544.00"
122700,Los Angeles Trade-Technical College,"5,124,229.00","2,562,115.00"
4134100,Jersey College,"5,119,863.00","2,559,932.00"
353100,University Of Tennessee - Martin,"5,110,311.00","2,555,156.00"
286800,Hudson Valley Community College,"5,108,581.00","2,554,291.00"
292800,Fayetteville State University,"5,084,687.00","2,542,344.00"
824400,Johnson County Community College,"5,080,285.00","2,540,143.00"
831000,Auburn University Montgomery,"5,075,473.00","2,537,737.00"
147100,College Of Central Florida,"5,063,707.00","2,531,854.00"
200500,Nicholls State University,"5,057,520.00","2,528,760.00"
217800,Massachusetts Institute Of Technology,"5,045,387.00","2,522,694.00"
1088100,Stark State College,"5,036,299.00","2,518,150.00"
165500,Wilbur Wright College,"5,035,279.00","2,517,640.00"
264200,College Of New Jersey (The),"5,028,131.00","2,514,066.00"
146600,Barry University,"5,027,398.00","2,513,699.00"
3113300,Uei College,"5,025,381.00","2,512,691.00"
150400,"State College Of Florida, Manatee-Sarasota","5,023,266.00","2,511,633.00"
234500,University Of Saint Thomas,"5,005,202.00","2,502,601.00"
101600,University Of North Alabama,"5,002,648.00","2,501,324.00"
2066200,"New School, The","4,996,686.00","2,498,343.00"
1054600,Century College,"4,996,271.00","2,498,136.00"
121400,Imperial Valley College,"4,995,150.00","2,497,575.00"
769400,College Of Lake County,"4,973,042.00","2,486,521.00"
232800,Washtenaw Community College,"4,968,890.00","2,484,445.00"
524400,Bluegrass Community & Technical College,"4,961,119.00","2,480,560.00"
391500,University Of Wisconsin - Stout,"4,952,605.00","2,476,303.00"
221800,Suffolk University,"4,935,367.00","2,467,684.00"
261600,Monmouth University,"4,935,299.00","2,467,650.00"
531700,Forsyth Technical Community College,"4,933,805.00","2,466,903.00"
165000,City Colleges Of Chicago - Malcolm X College,"4,919,757.00","2,459,879.00"
306800,Lorain County Community College,"4,917,956.00","2,458,978.00"
562000,Chattahoochee Technical College,"4,903,653.00","2,451,827.00"
180400,University Of Indianapolis,"4,902,143.00","2,451,072.00"
359000,Mclennan Community College,"4,898,030.00","2,449,015.00"
184300,Vincennes University,"4,866,528.00","2,433,264.00"
3156300,Estrella Mountain Community College,"4,856,585.00","2,428,293.00"
3294300,Blue Cliff College,"4,843,075.00","2,421,538.00"
340100,Brown University,"4,842,231.00","2,421,116.00"
280300,Rensselaer Polytechnic Institute,"4,828,782.00","2,414,391.00"
217500,Quinsigamond Community College,"4,828,361.00","2,414,181.00"
152100,Southeastern University,"4,820,567.00","2,410,284.00"
795400,Normandale Community College,"4,802,575.00","2,401,288.00"
817500,Howard Community College,"4,800,099.00","2,400,050.00"
354000,Amarillo College,"4,794,394.00","2,397,197.00"
249600,Northwest Missouri State University,"4,792,789.00","2,396,395.00"
392100,University Of Wisconsin - Platteville,"4,792,670.00","2,396,335.00"
